Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PA04,,Available,,,,,,NORMAL
6,PA05,,Available,,,,,,NORMAL
7,PA06,,Available,,,,,,NORMAL
8,PA07,BLANK,GPIO,Digital,Out,Low,,,STRONG
11,PA08,SDO,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
12,PA09,SCK,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
13,PA10,CS,GPIO,Digital,Out,Low,,,NORMAL
14,PA11,RE2,GPIO,Digital,In,n/a,No,No,NORMAL
15,PA14,RE1,EIC_EXTINT14,Digital,High Impedance,n/a,No,No,NORMAL
16,PA15,,Available,,,,,,NORMAL
17,PA16,USB_RX,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
18,PA17,,Available,,,,,,NORMAL
19,PA18,USB_TX,SERCOM1_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
20,PA19,,Available,,,,,,NORMAL
21,PA22,DEBUG_RX,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
22,PA23,,Available,,,,,,NORMAL
23,PA24,DEBUG_TX,SERCOM3_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
24,PA25,,Available,,,,,,NORMAL
25,PA27,,Available,,,,,,NORMAL
27,PA28,,Available,,,,,,NORMAL
31,PA30,,Available,,,,,,NORMAL
32,PA31,,Available,,,,,,NORMAL
